date,code,close,pctChg,volume,amount
2021-03-31,sh.601939,7.35,1.239669,3009219302.0,21979945134.87
2021-04-30,sh.601939,6.73,-8.4354,1772966459.0,12630008704.4
2021-01-29,sz.002899,12.0,-7.834101,16661650.0,203997868.54
2021-02-26,sz.002899,12.77,6.416667,16960094.0,205935464.43
2021-03-31,sz.002899,12.29,-3.75881,19131404.0,244315519.36
2021-04-30,sz.002899,12.57,2.2783,17604556.0,224945930.43
2021-01-29,sz.002013,11.39,-0.524017,2386089916.0,30529140713.23
2021-02-26,sz.002013,12.21,7.199298,825555390.0,10021642738.12
2021-03-31,sz.002013,9.74,-20.22932,1195150734.0,12915855816.66
2021-04-30,sz.002013,9.75,0.1027,646179217.0,6482918693.76
2021-01-29,sz.002648,35.18,34.686064,249405349.0,7675471554.32
2021-02-26,sz.002648,43.61,23.962479,301116159.0,13053012131.75
2021-03-31,sz.002648,37.67,-13.620729,274111510.0,10619081566.86
2021-04-30,sz.002648,40.86,8.4683,183885968.0,6997752314.87
2021-01-29,sh.601877,36.99,-5.541369,422366307.0,16448871370.42
2021-02-26,sh.601877,34.26,-7.380373,255978592.0,9259983061.5
2021-03-31,sh.601877,36.3,5.954466,242078079.0,8578525787.55
2021-04-30,sh.601877,33.29,-8.292,163525188.0,5520459419.84
2021-01-29,sz.300782,632.0,10.772251,49391849.0,32098168306.39
2021-02-26,sz.300782,630.0,-0.316456,28344694.0,17841534405.94
2021-03-31,sz.300782,609.0,-3.333333,38105052.0,22794032850.36
2021-04-30,sz.300782,427.22,26.4391,41728641.0,28839253260.7
2021-01-29,sh.600845,66.58,-3.479269,148519628.0,9607047457.89
2021-02-26,sh.600845,57.26,-13.998198,116852601.0,7499814904.67
2021-03-31,sh.600845,58.43,2.043311,102275120.0,5561933094.44
2021-04-30,sh.600845,63.4,8.5059,83483170.0,5137774770.52
2021-01-29,sz.300433,33.4,9.114668,1974019856.0,72255445635.08
2021-02-26,sz.300433,31.25,-6.437126,798517938.0,25139127077.46
2021-03-31,sz.300433,26.13,-16.384,854837509.0,24033216682.72
2021-04-30,sz.300433,26.13,0.0,705381699.0,18973558939.48
2021-01-29,sz.002920,112.15,33.289755,99550658.0,10632284729.84
2021-02-26,sz.002920,90.0,-19.750334,66490552.0,7078594523.09
2021-03-31,sz.002920,85.76,-4.711111,68091683.0,5718036382.28
2021-04-30,sz.002920,105.02,22.458,114826311.0,11099631200.79
2021-01-29,sz.300476,21.35,-1.019935,331995309.0,8198241583.54
2021-02-26,sz.300476,22.24,4.168618,116136570.0,2494757725.09
2021-03-31,sz.300476,23.45,5.440647,187768215.0,4236635876.13
2021-04-30,sz.300476,23.27,-0.7676,150140547.0,3555186784.02
2021-01-29,sz.002821,293.48,-1.892091,57700122.0,17668108412.78
2021-02-26,sz.002821,263.0,-10.385716,43713157.0,13194143814.28
2021-03-31,sz.002821,288.87,9.836502,56540519.0,14772155077.35
2021-04-30,sz.002821,328.9,13.8574,49720623.0,14869576485.73
2021-01-29,sz.002008,42.86,0.25731,802462284.0,37972785708.26
2021-02-26,sz.002008,43.11,0.583294,439361345.0,20495479586.33
2021-03-31,sz.002008,42.36,-1.739736,403622952.0,16835434272.12
2021-04-30,sz.002008,40.17,-5.17,366718933.0,15226622947.49
2021-01-29,sh.603179,34.5,1.769912,72144499.0,2701929799.28
2021-02-26,sh.603179,28.05,-18.695652,35176180.0,1116743671.13
2021-03-31,sh.603179,30.48,8.663102,49027959.0,1513569126.65
2021-04-30,sh.603179,29.7,-2.5591,32682112.0,982297592.26
2021-01-29,sz.300274,104.8,44.991699,1161316341.0,104455621600.06
2021-02-26,sz.300274,86.48,-17.480916,958285728.0,98776837952.32
2021-03-31,sz.300274,71.78,-16.99815,1561126320.0,112623039012.54
2021-04-30,sz.300274,89.9,25.2438,992362785.0,73851263014.72
2021-01-29,sz.002304,204.01,-13.551422,298384482.0,64617476071.3
2021-02-26,sz.002304,189.0,-7.357482,213899060.0,44640482036.23
2021-03-31,sz.002304,164.7,-12.857143,193203003.0,32465383830.07
2021-04-30,sz.002304,192.5,16.8792,216870911.0,36245362277.72
2021-01-29,sh.600885,55.38,2.139432,170772140.0,9585247180.98
2021-02-26,sh.600885,51.55,-6.915854,166947141.0,10008954239.79
2021-03-31,sh.600885,49.38,-4.209505,144096305.0,7028523144.81
2021-04-30,sh.600885,55.92,13.9757,113544332.0,5887363036.76
2021-01-29,sz.002497,21.98,0.136674,2548680293.0,67747045566.58
2021-02-26,sz.002497,18.72,-14.831665,989212056.0,20979353616.27
2021-03-31,sz.002497,17.16,-8.333333,1000312992.0,18342918169.88
2021-04-30,sz.002497,20.35,18.5897,1118413864.0,20267725634.49
2021-01-29,sh.603987,16.59,5.736138,195818968.0,3128020968.15
2021-02-26,sh.603987,21.17,27.606992,247673439.0,4807296643.48
2021-03-31,sh.603987,20.46,-3.353803,247432186.0,5032641113.84
2021-04-30,sh.603987,20.65,0.9286,234241347.0,4688841262.1
2021-01-29,sh.600346,38.6,38.005005,834856812.0,30246310857.34
2021-02-26,sh.600346,36.14,-6.373057,873238577.0,36781558354.52
2021-03-31,sh.600346,29.33,-18.843387,1028211901.0,33710167188.93
2021-04-30,sh.600346,29.65,1.091,653289508.0,19561613898.42
2021-01-29,sz.300124,95.15,1.982851,324084525.0,31098998567.42
2021-02-26,sz.300124,85.29,-10.362585,248480851.0,24935082934.77
2021-03-31,sz.300124,85.51,0.257943,319481407.0,27319338157.07
2021-04-30,sz.300124,89.45,4.6076,304557735.0,25478087246.37
2021-01-29,sh.603456,41.55,16.061453,262141861.0,9609147437.4
2021-02-26,sh.603456,35.56,-14.416366,162869703.0,6326129856.37
2021-03-31,sh.603456,38.23,7.508436,181150602.0,6326067825.39
2021-04-30,sh.603456,43.26,13.1572,162139374.0,6645633073.9
2021-01-29,sz.002594,247.0,27.123006,876433022.0,202142729384.53
