,fund_code,short_name,name,fund_type,full_name
11768,516070,YFDZZNDDTJJETF,易方达中证内地低碳经济ETF,ETF-场内,YIFANGDAZHONGZHENGNEIDIDITANJINGJIETF
11769,516080,YFDZZCXYCYETF,易方达中证创新药产业ETF,ETF-场内,YIFANGDAZHONGZHENGCHUANGXINYAOCHANYEETF
11770,516090,YFDZZXNYETF,易方达中证新能源ETF,ETF-场内,YIFANGDAZHONGZHENGXINNENGYUANETF
11771,516110,GTZZ800QCYLBJETF,国泰中证800汽车与零部件ETF,ETF-场内,GUOTAIZHONGZHENG800QICHEYULINGBUJIANETF
11772,516120,FGZZXFHGCYZTETF,富国中证细分化工产业主题ETF,ETF-场内,FUGUOZHONGZHENGXIFENHUAGONGCHANYEZHUTIETF
11773,516150,JSZZXTCYETF,嘉实中证稀土产业ETF,ETF-场内,JIASHIZHONGZHENGXITUCHANYEETF
11774,516160,NFZZXNYETF,南方中证新能源ETF,ETF-场内,NANFANGZHONGZHENGXINNENGYUANETF
11775,516163,NFZZXNYETF,南方中证新能源ETF,ETF-场内,NANFANGZHONGZHENGXINNENGYUANETF
11776,516180,PAZZGFCYETF,平安中证光伏产业ETF,ETF-场内,PINGANZHONGZHENGGUANGFUCHANYEETF
11777,516200,HAZZQZZQGSETF,华安中证全指证券公司ETF,ETF-场内,HUAANZHONGZHENGQUANZHIZHENGQUANGONGSIETF
11778,516220,GTZZXFHGCYZTETF,国泰中证细分化工产业主题ETF,ETF-场内,GUOTAIZHONGZHENGXIFENHUAGONGCHANYEZHUTIETF
11779,516300,HTBRZZ1000ETF,华泰柏瑞中证1000ETF,ETF-场内,HUATAIBAIRUIZHONGZHENG1000ETF
11780,516310,YFDZZYHETF,易方达中证银行ETF,ETF-场内,YIFANGDAZHONGZHENGYINHANGETF
11781,516330,HTBRZZWLWZTETF,华泰柏瑞中证物联网主题ETF,ETF-场内,HUATAIBAIRUIZHONGZHENGWULIANWANGZHUTIETF
11782,516360,HBXCLETF,华宝新材料ETF,ETF-场内,HUABAOXINCAILIAOETF
11783,516480,GLAZZXCLZTETF,国联安中证新材料主题ETF,ETF-场内,GUOLIANANZHONGZHENGXINCAILIAOZHUTIETF
11784,516500,HXZZSWKJZTETF,华夏中证生物科技主题ETF,ETF-场内,HUAXIAZHONGZHENGSHENGWUKEJIZHUTIETF
11785,516510,YFDZZYJSETF,易方达中证云计算ETF,ETF-场内,YIFANGDAZHONGZHENGYUNJISUANETF
11786,516520,HTBRZZZNQCZTETF,华泰柏瑞中证智能汽车主题ETF,ETF-场内,HUATAIBAIRUIZHONGZHENGZHINENGQICHEZHUTIETF
11787,516550,JSZZDNYETF,嘉实中证大农业ETF,ETF-场内,JIASHIZHONGZHENGDANONGYEETF
11788,516590,YFDZZZNDDQCETF,易方达中证智能电动汽车ETF,ETF-场内,YIFANGDAZHONGZHENGZHINENGDIANDONGQICHEETF
11789,516600,GYRXZZXFFWLXETF,工银瑞信中证消费服务领先ETF,ETF-场内,GONGYINRUIXINZHONGZHENGXIAOFEIFUWULINGXIANETF
11790,516610,DCZZQZYLBJSBYFWETF,大成中证全指医疗保健设备与服务ETF,ETF-场内,DACHENGZHONGZHENGQUANZHIYILIAOBAOJIANSHEBEIYUFUWUETF
11791,516660,HAZZXNYQCETF,华安中证新能源汽车ETF,ETF-场内,HUAANZHONGZHENGXINNENGYUANQICHEETF
11792,516670,ZSZZXMYZETF,招商中证畜牧养殖ETF,ETF-场内,ZHAOSHANGZHONGZHENGXUMUYANGZHIETF
11793,516680,JXZZXFYSJSCYETF,建信中证细分有色金属产业ETF,ETF-场内,JIANXINZHONGZHENGXIFENYOUSEJINSHUCHANYEETF
11794,516700,HBDSJETF,华宝大数据ETF,ETF-场内,HUABAODASHUJUETF
11795,516760,PAZZXMYZETF,平安中证畜牧养殖ETF,ETF-场内,PINGANZHONGZHENGXUMUYANGZHIETF
11796,516770,HTBRZZDMYXETF,华泰柏瑞中证动漫游戏ETF,ETF-场内,HUATAIBAIRUIZHONGZHENGDONGMANYOUXIETF
11797,516780,HTBRZZXTCYETF,华泰柏瑞中证稀土产业ETF,ETF-场内,HUATAIBAIRUIZHONGZHENGXITUCHANYEETF
11798,516800,HBZZZNZZETF,华宝中证智能制造ETF,ETF-场内,HUABAOZHONGZHENGZHINENGZHIZAOETF
11799,516850,HXZZXNYETF,华夏中证新能源ETF,ETF-场内,HUAXIAZHONGZHENGXINNENGYUANETF
11800,516870,YHZZ800QCYLBJETF,银华中证800汽车与零部件ETF,ETF-场内,YINHUAZHONGZHENG800QICHEYULINGBUJIANETF
11801,516880,YHZZGFCYETF,银华中证光伏产业ETF,ETF-场内,YINHUAZHONGZHENGGUANGFUCHANYEETF
11802,516890,PAZZXCLZTETF,平安中证新材料主题ETF,ETF-场内,PINGANZHONGZHENGXINCAILIAOZHUTIETF
11803,516900,HAZZSWSPYLETF,华安中证申万食品饮料ETF,ETF-场内,HUAANZHONGZHENGSHENWANSHIPINYINLIAOETF
11804,516910,FGZZXDWLETF,富国中证现代物流ETF,ETF-场内,FUGUOZHONGZHENGXIANDAIWULIUETF
11805,516950,YHZZJJETF,银华中证基建ETF,ETF-场内,YINHUAZHONGZHENGJIJIANETF
11806,516960,GTXFJXSBCYZTETF,国泰细分机械设备产业主题ETF,ETF-场内,GUOTAIXIFENJIXIESHEBEICHANYEZHUTIETF
11807,516980,HFZZZQGSXFCLETF,华富中证证券公司先锋策略ETF,ETF-场内,HUAFUZHONGZHENGZHENGQUANGONGSIXIANFENGCELUEETF
11808,517000,YHZZHGS500ETF,银华中证沪港深500ETF,ETF-场内,YINHUAZHONGZHENGHUGANGSHEN500ETF
11809,517050,HTBRZZHGSHLWETF,华泰柏瑞中证沪港深互联网ETF,ETF-场内,HUATAIBAIRUIZHONGZHENGHUGANGSHENHULIANWANGETF
11810,517060,HBZZHGS500ETF,华宝中证沪港深500ETF,ETF-场内,HUABAOZHONGZHENGHUGANGSHEN500ETF
11811,517080,HTFZZHGS500ETF,汇添富中证沪港深500ETF,ETF-场内,HUITIANFUZHONGZHENGHUGANGSHEN500ETF
11812,517100,FGZZHGS500ETF,富国中证沪港深500ETF,ETF-场内,FUGUOZHONGZHENGHUGANGSHEN500ETF
11813,517170,HXZZHGS500ETF,华夏中证沪港深500ETF,ETF-场内,HUAXIAZHONGZHENGHUGANGSHEN500ETF
11814,517200,JSZZHGSHLWETF,嘉实中证沪港深互联网ETF,ETF-场内,JIASHIZHONGZHENGHUGANGSHENHULIANWANGETF
11815,517300,GSABZZHGS300ETF,国寿安保中证沪港深300ETF,ETF-场内,GUOSHOUANBAOZHONGZHENGHUGANGSHEN300ETF
11816,517350,GFZZHGSKJLTETF,广发中证沪港深科技龙头ETF,ETF-场内,GUANGFAZHONGZHENGHUGANGSHENKEJILONGTOUETF
11817,518600,GFSHJETF,广发上海金ETF,ETF-场内,GUANGFASHANGHAIJINETF
11818,518660,GYRXHJETF,工银瑞信黄金ETF,ETF-场内,GONGYINRUIXINHUANGJINETF
11819,518680,FGSHJETF,富国上海金ETF,ETF-场内,FUGUOSHANGHAIJINETF
11820,518800,GTHJETF,国泰黄金ETF,ETF-场内,GUOTAIHUANGJINETF
11821,518850,HXHJETF,华夏黄金ETF,ETF-场内,HUAXIAHUANGJINETF
11822,518860,JXSHJETF,建信上海金ETF,ETF-场内,JIANXINSHANGHAIJINETF
11823,518880,HAHJYETF,华安黄金易ETF,ETF-场内,HUAANHUANGJINYIETF
11824,518890,ZYSHJETF,中银上海金ETF,ETF-场内,ZHONGYINSHANGHAIJINETF
11825,519001,YHJZYXHH,银华价值优选混合,混合型,YINHUAJIAZHIYOUXUANHUNHE
11826,519002,HAAXXFHH,华安安信消费混合,混合型,HUAANANXINXIAOFEIHUNHE
11827,519003,HFTSYZZHH,海富通收益增长混合,混合型,HAIFUTONGSHOUYIZENGZHANGHUNHE
11828,519005,HFTGPHH,海富通股票混合,混合型,HAIFUTONGGUPIAOHUNHE
11829,519007,HFTQHHBHH,海富通强化回报混合,混合型,HAIFUTONGQIANGHUAHUIBAOHUNHE
11830,519008,HTFYSJXHH,汇添富优势精选混合,混合型,HUITIANFUYOUSHIJINGXUANHUNHE
